ts,PV_1,PV_2,Load_1,Load_2
2019-02-01 0:00:00,0,0,0.04,0.02
2019-02-01 0:15:00,0,0,0.0304,0.015
2019-02-01 0:30:00,0,0,0.0288,0.014
2019-02-01 0:45:00,0,0,0.028,0.014
2019-02-01 1:00:00,0,0,0.0272,0.013
2019-02-01 1:15:00,0,0,0.0256,0.013
2019-02-01 1:30:00,0,0,0.0232,0.012
2019-02-01 1:45:00,0,0,0.0216,0.011
2019-02-01 2:00:00,0,0,0.02,0.01
2019-02-01 2:15:00,0,0,0.0184,0.009
2019-02-01 2:30:00,0,0,0.0176,0.009
2019-02-01 2:45:00,0,0,0.0176,0.009
2019-02-01 3:00:00,0,0,0.0176,0.009
2019-02-01 3:15:00,0,0,0.0168,0.009
2019-02-01 3:30:00,0,0,0.0168,0.008
2019-02-01 3:45:00,0,0,0.0168,0.008
2019-02-01 4:00:00,0,0,0.0168,0.008
2019-02-01 4:15:00,0,0,0.0168,0.008
2019-02-01 4:30:00,0,0,0.016,0.008
2019-02-01 4:45:00,0,0,0.016,0.008
2019-02-01 5:00:00,0,0,0.016,0.008
2019-02-01 5:15:00,0,0,0.016,0.008
2019-02-01 5:30:00,0,0,0.0168,0.008
2019-02-01 5:45:00,0,0,0.0168,0.009
2019-02-01 6:00:00,0,0,0.0184,0.009
2019-02-01 6:15:00,0,0,0.0192,0.01
2019-02-01 6:30:00,0,0,0.0216,0.011
2019-02-01 6:45:00,0,0,0.0232,0.012
2019-02-01 7:00:00,0,0,0.0264,0.013
2019-02-01 7:15:00,0,0,0.0296,0.015
2019-02-01 7:30:00,0,0,0.0328,0.016
2019-02-01 7:45:00,0,0,0.0368,0.018
2019-02-01 8:00:00,0,0,0.0408,0.02
2019-02-01 8:15:00,0,0,0.0448,0.022
2019-02-01 8:30:00,0.0072,0.003,0.0496,0.025
2019-02-01 8:45:00,0.0306,0.01,0.0528,0.027
2019-02-01 9:00:00,0.0396,0.013,0.056,0.028
2019-02-01 9:15:00,0.0774,0.026,0.0584,0.029
2019-02-01 9:30:00,0.1404,0.047,0.06,0.03
2019-02-01 9:45:00,0.1854,0.062,0.0608,0.03
2019-02-01 10:00:00,0.2646,0.088,0.0616,0.031
2019-02-01 10:15:00,0.3258,0.109,0.0624,0.031
2019-02-01 10:30:00,0.2718,0.091,0.0624,0.031
2019-02-01 10:45:00,0.2952,0.098,0.0632,0.032
2019-02-01 11:00:00,0.315,0.096,0.064,0.032
2019-02-01 11:15:00,0.324,0.078,0.064,0.032
2019-02-01 11:30:00,0.351,0.057,0.0656,0.033
2019-02-01 11:45:00,0.378,0.078,0.0664,0.033
2019-02-01 12:00:00,0.4194,0.14,0.0672,0.034
2019-02-01 12:15:00,0.432,0.15,0.0688,0.035
2019-02-01 12:30:00,0.432,0.134,0.0704,0.035
2019-02-01 12:45:00,0.396,0.119,0.0712,0.036
2019-02-01 13:00:00,0.324,0.07,0.072,0.036
2019-02-01 13:15:00,0.2214,0.062,0.072,0.036
2019-02-01 13:30:00,0.1476,0.049,0.0712,0.036
2019-02-01 13:45:00,0.1242,0.041,0.0704,0.035
2019-02-01 14:00:00,0.1242,0.041,0.0688,0.034
2019-02-01 14:15:00,0.1242,0.041,0.0672,0.034
2019-02-01 14:30:00,0.1242,0.041,0.0656,0.033
2019-02-01 14:45:00,0.108,0.036,0.0648,0.032
2019-02-01 15:00:00,0.0936,0.031,0.0632,0.032
2019-02-01 15:15:00,0.0774,0.026,0.0624,0.031
2019-02-01 15:30:00,0.054,0.018,0.0616,0.031
2019-02-01 15:45:00,0.0468,0.016,0.0608,0.03
2019-02-01 16:00:00,0.0396,0.013,0.06,0.03
2019-02-01 16:15:00,0.0162,0.005,0.06,0.03
2019-02-01 16:30:00,0.0162,0.005,0.06,0.03
2019-02-01 16:45:00,0,0,0.0616,0.031
2019-02-01 17:00:00,0,0,0.064,0.032
2019-02-01 17:15:00,0,0,0.0688,0.034
2019-02-01 17:30:00,0,0,0.0744,0.037
2019-02-01 17:45:00,0,0,0.08,0.04
2019-02-01 18:00:00,0,0,0.084,0.042
2019-02-01 18:15:00,0,0,0.0896,0.044
2019-02-01 18:30:00,0,0,0.1,0.044
2019-02-01 18:45:00,0,0,0.1056,0.045
2019-02-01 19:00:00,0,0,0.112,0.045
2019-02-01 19:15:00,0,0,0.112,0.045
2019-02-01 19:30:00,0,0,0.108,0.045
2019-02-01 19:45:00,0,0,0.104,0.045
2019-02-01 20:00:00,0,0,0.1008,0.043
2019-02-01 20:15:00,0,0,0.096,0.041
2019-02-01 20:30:00,0,0,0.092,0.038
2019-02-01 20:45:00,0,0,0.076,0.035
2019-02-01 21:00:00,0,0,0.072,0.032
2019-02-01 21:15:00,0,0,0.06,0.03
2019-02-01 21:30:00,0,0,0.0576,0.029
2019-02-01 21:45:00,0,0,0.056,0.028
2019-02-01 22:00:00,0,0,0.0544,0.027
2019-02-01 22:15:00,0,0,0.0536,0.027
2019-02-01 22:30:00,0,0,0.0528,0.026
2019-02-01 22:45:00,0,0,0.052,0.026
2019-02-01 23:00:00,0,0,0.0504,0.025
2019-02-01 23:15:00,0,0,0.048,0.024
2019-02-01 23:30:00,0,0,0.0456,0.023
2019-02-01 23:45:00,0,0,0.0432,0.021
2019-02-02 0:00:00,0,0,0.04,0.02
2019-02-02 0:15:00,0,0,0.0304,0.015
2019-02-02 0:30:00,0,0,0.0288,0.014
2019-02-02 0:45:00,0,0,0.028,0.014
2019-02-02 1:00:00,0,0,0.0272,0.013
2019-02-02 1:15:00,0,0,0.0256,0.013
2019-02-02 1:30:00,0,0,0.0232,0.012
2019-02-02 1:45:00,0,0,0.0216,0.011
2019-02-02 2:00:00,0,0,0.02,0.01
2019-02-02 2:15:00,0,0,0.0184,0.009
2019-02-02 2:30:00,0,0,0.0176,0.009
2019-02-02 2:45:00,0,0,0.0176,0.009
2019-02-02 3:00:00,0,0,0.0176,0.009
2019-02-02 3:15:00,0,0,0.0168,0.009
2019-02-02 3:30:00,0,0,0.0168,0.008
2019-02-02 3:45:00,0,0,0.0168,0.008
2019-02-02 4:00:00,0,0,0.0168,0.008
2019-02-02 4:15:00,0,0,0.0168,0.008
2019-02-02 4:30:00,0,0,0.016,0.008
2019-02-02 4:45:00,0,0,0.016,0.008
2019-02-02 5:00:00,0,0,0.016,0.008
2019-02-02 5:15:00,0,0,0.016,0.008
2019-02-02 5:30:00,0,0,0.0168,0.008
2019-02-02 5:45:00,0,0,0.0168,0.009
2019-02-02 6:00:00,0,0,0.0184,0.009
2019-02-02 6:15:00,0,0,0.0192,0.01
2019-02-02 6:30:00,0,0,0.0216,0.011
2019-02-02 6:45:00,0,0,0.0232,0.012
2019-02-02 7:00:00,0,0,0.0264,0.013
2019-02-02 7:15:00,0,0,0.0296,0.015
2019-02-02 7:30:00,0,0,0.0328,0.016
2019-02-02 7:45:00,0,0,0.0368,0.018
2019-02-02 8:00:00,0,0,0.0408,0.02
2019-02-02 8:15:00,0,0,0.0448,0.022
2019-02-02 8:30:00,0.0072,0.003,0.0496,0.025
2019-02-02 8:45:00,0.0306,0.01,0.0528,0.027
2019-02-02 9:00:00,0.0396,0.013,0.056,0.028
2019-02-02 9:15:00,0.0774,0.026,0.0584,0.029
2019-02-02 9:30:00,0.1404,0.047,0.06,0.03
2019-02-02 9:45:00,0.1854,0.062,0.0608,0.03
2019-02-02 10:00:00,0.2646,0.088,0.0616,0.031
2019-02-02 10:15:00,0.3258,0.109,0.0624,0.031
2019-02-02 10:30:00,0.2718,0.091,0.0624,0.031
2019-02-02 10:45:00,0.2952,0.098,0.0632,0.032
2019-02-02 11:00:00,0.315,0.096,0.064,0.032
2019-02-02 11:15:00,0.324,0.078,0.064,0.032
2019-02-02 11:30:00,0.351,0.057,0.0656,0.033
2019-02-02 11:45:00,0.378,0.078,0.0664,0.033
2019-02-02 12:00:00,0.4194,0.14,0.0672,0.034
2019-02-02 12:15:00,0.432,0.15,0.0688,0.035
2019-02-02 12:30:00,0.432,0.134,0.0704,0.035
2019-02-02 12:45:00,0.396,0.119,0.0712,0.036
2019-02-02 13:00:00,0.324,0.07,0.072,0.036
2019-02-02 13:15:00,0.2214,0.062,0.072,0.036
2019-02-02 13:30:00,0.1476,0.049,0.0712,0.036
2019-02-02 13:45:00,0.1242,0.041,0.0704,0.035
2019-02-02 14:00:00,0.1242,0.041,0.0688,0.034
2019-02-02 14:15:00,0.1242,0.041,0.0672,0.034
2019-02-02 14:30:00,0.1242,0.041,0.0656,0.033
2019-02-02 14:45:00,0.108,0.036,0.0648,0.032
2019-02-02 15:00:00,0.0936,0.031,0.0632,0.032
2019-02-02 15:15:00,0.0774,0.026,0.0624,0.031
2019-02-02 15:30:00,0.054,0.018,0.0616,0.031
2019-02-02 15:45:00,0.0468,0.016,0.0608,0.03
2019-02-02 16:00:00,0.0396,0.013,0.06,0.03
2019-02-02 16:15:00,0.0162,0.005,0.06,0.03
2019-02-02 16:30:00,0.0162,0.005,0.06,0.03
2019-02-02 16:45:00,0,0,0.0616,0.031
2019-02-02 17:00:00,0,0,0.064,0.032
2019-02-02 17:15:00,0,0,0.0688,0.034
2019-02-02 17:30:00,0,0,0.0744,0.037
2019-02-02 17:45:00,0,0,0.08,0.04
2019-02-02 18:00:00,0,0,0.084,0.042
2019-02-02 18:15:00,0,0,0.0896,0.044
2019-02-02 18:30:00,0,0,0.1,0.044
2019-02-02 18:45:00,0,0,0.1056,0.045
2019-02-02 19:00:00,0,0,0.112,0.045
2019-02-02 19:15:00,0,0,0.112,0.045
2019-02-02 19:30:00,0,0,0.108,0.045
2019-02-02 19:45:00,0,0,0.104,0.045
2019-02-02 20:00:00,0,0,0.1008,0.043
2019-02-02 20:15:00,0,0,0.096,0.041
2019-02-02 20:30:00,0,0,0.092,0.038
