ts,DE_heat_demand_total,hourly_heat_load_profile_500kW,consumer1,consumer2
2/1/2019 0:00,54754,173.7178859,173.7178859,173.7178859
2/1/2019 1:00,58251,184.8128095,184.8128095,184.8128095
2/1/2019 2:00,59347,188.2900861,188.2900861,188.2900861
2/1/2019 3:00,66179,209.9659563,209.9659563,209.9659563
2/1/2019 4:00,82843,262.8357895,262.8357895,262.8357895
2/1/2019 5:00,114166,362.2141973,362.2141973,362.2141973
2/1/2019 6:00,139736,443.3400756,443.3400756,443.3400756
2/1/2019 7:00,136011,431.521777,431.521777,431.521777
2/1/2019 8:00,130687,414.6303348,414.6303348,414.6303348
2/1/2019 9:00,121102,384.220028,384.220028,384.220028
2/1/2019 10:00,113510,360.1329076,360.1329076,360.1329076
2/1/2019 11:00,107941,342.4641546,342.4641546,342.4641546
2/1/2019 12:00,104899,332.8128084,332.8128084,332.8128084
2/1/2019 13:00,103153,327.2732783,327.2732783,327.2732783
2/1/2019 14:00,104562,331.7436093,331.7436093,331.7436093
2/1/2019 15:00,106688,338.4887644,338.4887644,338.4887644
2/1/2019 16:00,111301,353.1244186,353.1244186,353.1244186
2/1/2019 17:00,116377,369.2290317,369.2290317,369.2290317
2/1/2019 18:00,118891,377.2051936,377.2051936,377.2051936
2/1/2019 19:00,119351,378.6646345,378.6646345,378.6646345
2/1/2019 20:00,116076,368.2740498,368.2740498,368.2740498
2/1/2019 21:00,104431,331.3279859,331.3279859,331.3279859
2/1/2019 22:00,79552,252.3944416,252.3944416,252.3944416
2/1/2019 23:00,61811,196.107613,196.107613,196.107613
2/2/2019 0:00,70872,224.8554262,224.8554262,224.8554262
2/2/2019 1:00,72383,229.6493723,229.6493723,229.6493723
2/2/2019 2:00,75231,238.6852152,238.6852152,238.6852152
2/2/2019 3:00,81012,257.0265802,257.0265802,257.0265802
2/2/2019 4:00,95476,302.9164786,302.9164786,302.9164786
2/2/2019 5:00,133599,423.8692303,423.8692303,423.8692303
2/2/2019 6:00,159143,504.9126185,504.9126185,504.9126185
2/2/2019 7:00,151495,480.647827,480.647827,480.647827
2/2/2019 8:00,146432,464.5844589,464.5844589,464.5844589
2/2/2019 9:00,139828,443.6319638,443.6319638,443.6319638
2/2/2019 10:00,132559,420.5696247,420.5696247,420.5696247
2/2/2019 11:00,129202,409.9188788,409.9188788,409.9188788
2/2/2019 12:00,124500,395.0008546,395.0008546,395.0008546
2/2/2019 13:00,121874,386.6693506,386.6693506,386.6693506
