step,PV_1,PV_2,Load_1,Load_2,Heat Pump
3/1/2020 0:00,0,0,0.05,0.02,0.02
3/1/2020 0:15,0,0,0.038,0.015,0.02
3/1/2020 0:30,0,0,0.036,0.014,0.02
3/1/2020 0:45,0,0,0.035,0.014,0.02
3/1/2020 1:00,0,0,0.034,0.013,0.02
3/1/2020 1:15,0,0,0.032,0.013,0.02
3/1/2020 1:30,0,0,0.029,0.012,0.02
3/1/2020 1:45,0,0,0.027,0.011,0.02
3/1/2020 2:00,0,0,0.025,0.01,0.02
3/1/2020 2:15,0,0,0.023,0.009,0.02
3/1/2020 2:30,0,0,0.022,0.009,0.02
3/1/2020 2:45,0,0,0.022,0.009,0.02
3/1/2020 3:00,0,0,0.022,0.009,0.02
3/1/2020 3:15,0,0,0.021,0.009,0.02
3/1/2020 3:30,0,0,0.021,0.008,0.02
3/1/2020 3:45,0,0,0.021,0.008,0.02
3/1/2020 4:00,0,0,0.021,0.008,0.02
3/1/2020 4:15,0,0,0.021,0.008,0.02
3/1/2020 4:30,0,0,0.02,0.008,0.02
3/1/2020 4:45,0,0,0.02,0.008,0.02
3/1/2020 5:00,0,0,0.02,0.008,0.02
3/1/2020 5:15,0,0,0.02,0.008,0.02
3/1/2020 5:30,0,0,0.021,0.008,0.02
3/1/2020 5:45,0,0,0.021,0.009,0.02
3/1/2020 6:00,0,0,0.023,0.009,0.02
3/1/2020 6:15,0,0,0.024,0.01,0.02
3/1/2020 6:30,0,0,0.027,0.011,0.02
3/1/2020 6:45,0,0,0.029,0.012,0.02
3/1/2020 7:00,0,0,0.033,0.013,0.02
3/1/2020 7:15,0,0,0.037,0.015,0.02
3/1/2020 7:30,0,0,0.041,0.016,0.02
3/1/2020 7:45,0,0,0.046,0.018,0.02
3/1/2020 8:00,0,0,0.051,0.02,0.02
3/1/2020 8:15,0,0,0.056,0.022,0.02
3/1/2020 8:30,0.004,0.003,0.062,0.025,0.02
3/1/2020 8:45,0.017,0.01,0.066,0.027,0.02
3/1/2020 9:00,0.022,0.013,0.07,0.028,0.02
3/1/2020 9:15,0.043,0.026,0.073,0.029,0.02
3/1/2020 9:30,0.078,0.047,0.075,0.03,0.02
3/1/2020 9:45,0.103,0.062,0.076,0.03,0.02
3/1/2020 10:00,0.147,0.088,0.077,0.031,0.02
3/1/2020 10:15,0.181,0.109,0.078,0.031,0.02
3/1/2020 10:30,0.151,0.091,0.078,0.031,0.02
3/1/2020 10:45,0.164,0.098,0.079,0.032,0.02
3/1/2020 11:00,0.175,0.096,0.08,0.032,0.02
3/1/2020 11:15,0.18,0.078,0.08,0.032,0.02
3/1/2020 11:30,0.195,0.057,0.082,0.033,0.02
3/1/2020 11:45,0.21,0.078,0.083,0.033,0.02
3/1/2020 12:00,0.233,0.14,0.084,0.034,0.02
3/1/2020 12:15,0.24,0.15,0.086,0.035,0.02
3/1/2020 12:30,0.24,0.134,0.088,0.035,0.02
3/1/2020 12:45,0.22,0.119,0.089,0.036,0.02
3/1/2020 13:00,0.18,0.07,0.09,0.036,0.02
3/1/2020 13:15,0.123,0.062,0.09,0.036,0.02
3/1/2020 13:30,0.082,0.049,0.089,0.036,0.02
3/1/2020 13:45,0.069,0.041,0.088,0.035,0.02
3/1/2020 14:00,0.069,0.041,0.086,0.034,0.02
3/1/2020 14:15,0.069,0.041,0.084,0.034,0.02
3/1/2020 14:30,0.069,0.041,0.082,0.033,0.02
3/1/2020 14:45,0.06,0.036,0.081,0.032,0.02
3/1/2020 15:00,0.052,0.031,0.079,0.032,0.02
3/1/2020 15:15,0.043,0.026,0.078,0.031,0.02
3/1/2020 15:30,0.03,0.018,0.077,0.031,0.02
3/1/2020 15:45,0.026,0.016,0.076,0.03,0.02
3/1/2020 16:00,0.022,0.013,0.075,0.03,0.02
3/1/2020 16:15,0.009,0.005,0.075,0.03,0.02
3/1/2020 16:30,0.009,0.005,0.075,0.03,0.02
3/1/2020 16:45,0,0,0.077,0.031,0.02
3/1/2020 17:00,0,0,0.08,0.032,0.02
3/1/2020 17:15,0,0,0.086,0.034,0.02
3/1/2020 17:30,0,0,0.093,0.037,0.02
3/1/2020 17:45,0,0,0.1,0.04,0.02
3/1/2020 18:00,0,0,0.105,0.042,0.02
3/1/2020 18:15,0,0,0.112,0.044,0.02
3/1/2020 18:30,0,0,0.125,0.044,0.02
3/1/2020 18:45,0,0,0.132,0.045,0.02
3/1/2020 19:00,0,0,0.140,0.045,0.02
3/1/2020 19:15,0,0,0.140,0.045,0.02
3/1/2020 19:30,0,0,0.135,0.045,0.02
3/1/2020 19:45,0,0,0.130,0.045,0.02
3/1/2020 20:00,0,0,0.126,0.043,0.02
3/1/2020 20:15,0,0,0.12,0.041,0.02
3/1/2020 20:30,0,0,0.115,0.038,0.02
3/1/2020 20:45,0,0,0.095,0.035,0.02
3/1/2020 21:00,0,0,0.09,0.032,0.02
3/1/2020 21:15,0,0,0.075,0.03,0.02
3/1/2020 21:30,0,0,0.072,0.029,0.02
3/1/2020 21:45,0,0,0.07,0.028,0.02
3/1/2020 22:00,0,0,0.068,0.027,0.02
3/1/2020 22:15,0,0,0.067,0.027,0.02
3/1/2020 22:30,0,0,0.066,0.026,0.02
3/1/2020 22:45,0,0,0.065,0.026,0.02
3/1/2020 23:00,0,0,0.063,0.025,0.02
3/1/2020 23:15,0,0,0.06,0.024,0.02
3/1/2020 23:30,0,0,0.057,0.023,0.02
3/1/2020 23:45,0,0,0.054,0.021,0.02
