Hour,PV_1,PV_2,Load_1,Load_2,Heat Pump
0,0.000,0.000,0.050,0.020,0.0
1,0.000,0.000,0.050,0.020,0.0
2,0.000,0.000,0.048,0.019,0.0
3,0.000,0.000,0.049,0.020,0.0
4,0.000,0.000,0.050,0.020,0.0
5,0.008,0.006,0.050,0.020,0.0
6,0.024,0.018,0.051,0.021,0.0
7,0.120,0.090,0.059,0.024,0.0
8,0.158,0.119,0.063,0.026,0.0
9,0.172,0.129,0.063,0.025,0.0
10,0.200,0.150,0.067,0.027,0.0
11,0.192,0.144,0.064,0.026,0.0
12,0.184,0.138,0.064,0.026,0.0
13,0.158,0.119,0.066,0.027,0.0
14,0.114,0.086,0.070,0.029,0.0
15,0.068,0.051,0.068,0.028,0.0
16,0.022,0.017,0.060,0.024,0.0
17,0.000,0.000,0.069,0.028,0.0
18,0.000,0.000,0.067,0.027,0.0
19,0.000,0.000,0.064,0.026,0.0
20,0.000,0.000,0.064,0.026,0.0
21,0.000,0.000,0.063,0.025,0.0
22,0.000,0.000,0.053,0.021,0.0
23,0.000,0.000,0.051,0.021,0.0
